  , H                     , Zn                    , Zn(OH)2(aq)           , Zn(OH)3-              , Zn(OH)4--             , ZnOH+                 , Zn++                  , Na+               , NO3-              , Fe+++                 , Fe++                  , O2(aq)            , H_sorbed             , Zn_sorbed
49, 3.162277660168379e-08 , 6.30957344480193e-06  , 6.042894684719173e-10 , 7.791413489795086e-14 , 9.22401978927314e-19  , 5.899480179796151e-09 , 3.279401249562357e-07 , 0.0999997310767881, 0.1000000031975435, 8.062502794177251e-17 , 2.8974659386746384e-17, 0.0002464700284365, 6.50561356368134e-07 , 5.97512952675476e-06
50, 1.7782794100389228e-08, 6.30957344480193e-06  , 7.479772524644694e-10 , 1.7168911553609305e-13, 3.618511650547246e-18 , 4.1017962239541534e-09, 1.280772243490076e-07 , 0.1000004714317545, 0.1000000031975435, 1.428962564611369e-17 , 9.142233475949596e-18 , 0.0002464700284364, -5.61604590871072e-06, 6.17664628890633e-06
51, 1e-08                 , 6.30957344480193e-06  , 8.682102981167616e-10 , 3.5487421404872857e-13, 1.3318556795932993e-17, 2.6737201427907473e-09, 4.68834193733266e-08  , 0.1000012241010572, 0.1000000031975435, 2.5306791178970644e-18, 2.8831223636075313e-18, 0.0002464700284364, -1.13730157695783e-05, 6.25914773655086e-06
52, 9.999999999999999e-06 , 2.5118864315095825e-05, 4.555881541303574e-13 , 1.8466362672879184e-19, 6.872919158034427e-27 , 1.414900609103766e-09 , 2.5020749533690615e-05, 0.0999379576907034, 0.1000000031975435, 2.595593943220594e-09 , 2.932200456039456e-12 , 0.0002464700291694, 0.00012702386498     , 9.67030920992588e-08
53, 5.623413251903491e-06 , 2.5118864315095825e-05, 1.4307910418986868e-12, 1.0310862090846381e-18, 6.822829841498912e-26 , 2.499307656360968e-09 , 2.4859021526960492e-05, 0.099943541697497 , 0.1000000031975435, 4.6185605970265134e-10, 9.276274821297994e-13 , 0.0002464700286682, 0.0001091208067329   , 2.57345695307339e-07
54, 3.162277660168379e-06 , 2.5118864315095825e-05, 4.456648034701006e-12 , 5.713277599067017e-18 , 6.725317839140867e-25 , 4.376160601517346e-09 , 2.4468019987967665e-05, 0.0999472898885159, 0.1000000031975435, 8.204094694925869e-11 , 2.931273408598417e-13 , 0.0002464700285096, 9.19773789177225e-05 , 6.4646730379602e-07
55, 1.7782794100389227e-06, 2.5118864315095825e-05, 1.364902689500398e-11 , 3.1141078957740876e-17, 6.5240235042273644e-24, 7.530622573469378e-09 , 2.365813156751818e-05 , 0.0999505871313006, 0.1000000031975435, 1.4553353610146247e-11, 9.254323833656253e-14 , 0.0002464700284593, 7.55496353237908e-05 , 1.45319196229783e-06
56, 1e-06                 , 2.5118864315095825e-05, 4.087682384505925e-11 , 1.6601453203493658e-16, 6.191045539273044e-23 , 1.26697529691267e-08  , 2.236037353003968e-05 , 0.0999541300687491, 0.1000000031975435, 2.580167220046833e-12 , 2.9205726329562416e-14, 0.0002464700284436, 5.98223905289205e-05 , 2.74578346825599e-06
57, 5.62341325190349e-07  , 2.5118864315095825e-05, 1.205067448925636e-10 , 8.711839767520844e-16 , 5.783039761918793e-22 , 2.0983183040365708e-08, 2.0804186014815008e-05, 0.0999577750747441, 0.1000000031975435, 4.574610145124206e-13 , 9.217341251510093e-15 , 0.0002464700284388, 4.51665815018598e-05 , 4.29357771417653e-06
58, 3.162277660168379e-07 , 2.5118864315095825e-05, 3.5164674638230064e-10, 4.5260764909649625e-15, 5.349137114031948e-21 , 3.439128040397679e-08 , 1.9151766723999e-05   , 0.0999613849329138, 0.1000000031975435, 8.105847597101362e-14 , 2.9078281579371336e-15, 0.0002464700284374, 3.1752033954024e-05  , 5.93235754171245e-06
